countInDegree Node Time
countInDegree 17940 727
countInDegree 25497 622
countInDegree 16932 633
countInDegree 27102 622
countInDegree 22842 658
countInDegree 7812 651
countInDegree 4215 603
countInDegree 4953 618
countInDegree 20886 638
countInDegree 8382 762
countInDegree 21006 690
countInDegree 24696 704
countInDegree 4911 611
countInDegree 26946 701
countInDegree 12753 802
countInDegree 4518 737
countInDegree 2283 650
countInDegree 12276 693
countInDegree 18219 709
countInDegree 15303 620
countInDegree 26928 647
countInDegree 13107 730
countInDegree 18711 709
countInDegree 9573 767
countInDegree 10245 688
countInDegree 3864 661
countInDegree 4869 899
countInDegree 26043 636
countInDegree 26709 715
countInDegree 27831 661
countInDegree 11280 926
countInDegree 22071 691
countInDegree 19545 724
countInDegree 2295 736
countInDegree 13785 770
countInDegree 17475 631
countInDegree 8169 596
countInDegree 7500 1026
countInDegree 14403 815
countInDegree 20358 623
countInDegree 6411 607
countInDegree 25953 605
countInDegree 4044 599
countInDegree 3504 643
countInDegree 9543 694
countInDegree 174 625
countInDegree 21180 603
countInDegree 21297 614
countInDegree 12132 652
countInDegree 28164 641
countInDegree 10845 623
countInDegree 18063 637
countInDegree 14211 709
countInDegree 5937 720
countInDegree 15027 723
countInDegree 5097 721
countInDegree 27540 617
countInDegree 20031 625
countInDegree 16788 619
countInDegree 20244 632
countInDegree 378 623
countInDegree 17739 697
countInDegree 29526 593
countInDegree 15417 610
countInDegree 24612 601
countInDegree 3132 597
countInDegree 17424 592
countInDegree 12696 615
countInDegree 26517 612
countInDegree 24720 611
countInDegree 12024 677
countInDegree 27438 611
countInDegree 10218 668
countInDegree 19860 606
countInDegree 25368 593
countInDegree 19956 638
countInDegree 28374 617
countInDegree 14196 616
countInDegree 27285 609
countInDegree 4923 663
countInDegree 19572 633
countInDegree 19101 633
countInDegree 27603 602
countInDegree 25062 599
countInDegree 2256 610
countInDegree 1266 598
countInDegree 15156 598
countInDegree 26649 612
countInDegree 2850 638
countInDegree 9177 627
countInDegree 23898 631
countInDegree 26235 653
countInDegree 15480 612
countInDegree 8676 682
countInDegree 27099 650
countInDegree 6873 659
countInDegree 17904 666
countInDegree 13389 675
countInDegree 28908 643
countInDegree 8211 638
countInDegree 6303 651
countInDegree 15435 628
countInDegree 3183 634
countInDegree 13179 651
countInDegree 14208 686
countInDegree 13656 721
countInDegree 24306 606
countInDegree 774 631
countInDegree 23514 615
countInDegree 29310 978
countInDegree 18816 969
countInDegree 4548 806
countInDegree 20241 601
countInDegree 9258 612
countInDegree 4650 622
countInDegree 5226 601
countInDegree 19461 619
countInDegree 6129 606
countInDegree 9822 587
countInDegree 12168 684
countInDegree 4350 623
countInDegree 18276 742
