countInDegree Node Time
countInDegree 1266 3969
countInDegree 603 291
countInDegree 1128 307
countInDegree 420 250
countInDegree 2910 199
countInDegree 429 164
countInDegree 2355 162
countInDegree 1020 130
countInDegree 2094 117
countInDegree 372 117
countInDegree 105 119
countInDegree 138 94
countInDegree 2229 82
countInDegree 2352 67
countInDegree 2283 203
countInDegree 402 146
countInDegree 528 64
countInDegree 339 67
countInDegree 2499 71
countInDegree 1122 72
countInDegree 297 71
countInDegree 2973 73
countInDegree 2490 100
countInDegree 2694 88
countInDegree 1965 68
countInDegree 1959 70
countInDegree 2244 50
countInDegree 2505 58
countInDegree 2295 56
countInDegree 2391 52
countInDegree 2349 28
countInDegree 1734 48
countInDegree 2868 59
countInDegree 2193 52
countInDegree 204 53
countInDegree 321 48
countInDegree 2631 63
countInDegree 183 53
countInDegree 999 45
countInDegree 2043 39
countInDegree 2025 60
countInDegree 2733 35
countInDegree 36 56
countInDegree 588 64
countInDegree 2340 44
countInDegree 27 42
countInDegree 1296 56
countInDegree 939 40
countInDegree 1590 36
countInDegree 2286 39
countInDegree 1068 42
countInDegree 1452 44
countInDegree 1845 35
countInDegree 384 38
countInDegree 1203 48
countInDegree 2370 50
countInDegree 447 61
countInDegree 2106 76
countInDegree 1695 58
countInDegree 2472 86
countInDegree 2862 70
countInDegree 1287 65
countInDegree 2331 51
countInDegree 2289 39
countInDegree 771 35
countInDegree 2496 38
countInDegree 2343 38
countInDegree 2652 35
countInDegree 240 42
countInDegree 957 35
countInDegree 2772 45
countInDegree 2316 49
countInDegree 2337 47
countInDegree 2055 38
countInDegree 1233 49
countInDegree 2379 30
countInDegree 342 34
countInDegree 1326 36
countInDegree 678 36
countInDegree 2232 36
countInDegree 177 39
countInDegree 861 31
countInDegree 1173 68
countInDegree 1614 56
countInDegree 2610 25
countInDegree 1377 39
countInDegree 2091 42
countInDegree 591 31
countInDegree 618 35
countInDegree 9 30
countInDegree 60 22
countInDegree 2103 44
countInDegree 1251 34
countInDegree 1059 35
countInDegree 2688 30
countInDegree 24 45
countInDegree 2469 44
countInDegree 2709 36
countInDegree 1389 29
countInDegree 729 24
countInDegree 2253 32
countInDegree 1827 32
countInDegree 1152 31
countInDegree 2529 29
countInDegree 2580 27
countInDegree 2976 27
countInDegree 72 20
countInDegree 1977 31
countInDegree 1413 32
countInDegree 2010 51
countInDegree 180 40
countInDegree 1692 47
countInDegree 2169 55
countInDegree 756 44
countInDegree 1335 50
countInDegree 891 41
countInDegree 1632 33
countInDegree 2016 34
countInDegree 1914 46
countInDegree 753 31
countInDegree 2805 24
countInDegree 243 26
countInDegree 348 25
countInDegree 1497 22
countInDegree 2007 26
countInDegree 480 35
countInDegree 1974 26
countInDegree 2634 35
countInDegree 1482 29
countInDegree 75 21
countInDegree 369 28
countInDegree 2778 25
countInDegree 954 20
countInDegree 2880 27
countInDegree 1569 23
countInDegree 108 30
countInDegree 2427 27
countInDegree 2238 20
countInDegree 2751 29
countInDegree 1281 25
countInDegree 882 22
countInDegree 507 42
countInDegree 1659 40
countInDegree 282 28
countInDegree 858 26
countInDegree 2097 39
countInDegree 561 21
countInDegree 1512 26
countInDegree 207 26
countInDegree 2346 27
countInDegree 570 26
countInDegree 1272 20
countInDegree 2328 27
countInDegree 2325 29
countInDegree 1005 21
countInDegree 1524 29
countInDegree 1416 27
countInDegree 201 22
countInDegree 1320 27
countInDegree 1149 35
countInDegree 1527 23
countInDegree 81 41
countInDegree 2763 43
countInDegree 1449 33
countInDegree 1887 30
countInDegree 1545 42
countInDegree 792 35
countInDegree 1074 27
countInDegree 2544 27
countInDegree 519 31
countInDegree 1533 46
countInDegree 2319 37
countInDegree 1983 32
countInDegree 2994 24
countInDegree 1209 29
countInDegree 846 31
countInDegree 2904 50
countInDegree 993 59
countInDegree 1422 39
countInDegree 894 46
countInDegree 1647 25
countInDegree 42 38
countInDegree 2442 32
countInDegree 540 46
countInDegree 1314 31
countInDegree 2121 39
countInDegree 864 40
countInDegree 2079 60
countInDegree 927 70
countInDegree 291 35
countInDegree 1245 27
countInDegree 1506 40
countInDegree 1962 30
countInDegree 2826 26
countInDegree 1263 44
countInDegree 921 28
countInDegree 1395 34
countInDegree 1053 35
countInDegree 1056 33
countInDegree 336 30
countInDegree 1674 23
countInDegree 2520 30
countInDegree 1224 20
countInDegree 2583 38
countInDegree 351 91
countInDegree 2184 107
countInDegree 2754 43
countInDegree 2190 29
countInDegree 1446 31
countInDegree 1161 29
countInDegree 576 23
countInDegree 675 35
countInDegree 1878 31
countInDegree 2160 32
countInDegree 2022 20
countInDegree 1236 28
countInDegree 2073 43
countInDegree 102 46
countInDegree 1443 32
countInDegree 2823 30
countInDegree 327 21
countInDegree 2886 31
countInDegree 1323 30
countInDegree 1329 22
countInDegree 2076 28
countInDegree 2931 31
countInDegree 462 23
countInDegree 567 27
countInDegree 2403 30
countInDegree 90 21
countInDegree 2568 33
countInDegree 2235 34
countInDegree 1653 33
countInDegree 1107 28
countInDegree 2112 34
countInDegree 2070 29
countInDegree 699 28
countInDegree 1671 19
countInDegree 2799 36
countInDegree 393 32
countInDegree 1077 27
countInDegree 681 22
countInDegree 900 27
countInDegree 1830 24
countInDegree 210 33
countInDegree 1863 54
countInDegree 837 24
countInDegree 2988 30
countInDegree 1041 41
countInDegree 39 21
countInDegree 150 38
countInDegree 2001 49
countInDegree 1881 44
countInDegree 1740 41
countInDegree 360 47
countInDegree 2133 67
countInDegree 1902 38
countInDegree 114 36
countInDegree 2493 25
countInDegree 1458 32
countInDegree 1029 37
countInDegree 594 65
countInDegree 2802 44
countInDegree 2775 27
countInDegree 30 30
countInDegree 279 33
countInDegree 1725 31
countInDegree 2913 25
countInDegree 1254 26
countInDegree 735 29
countInDegree 1683 31
countInDegree 2736 30
countInDegree 2061 29
countInDegree 1890 31
countInDegree 1752 26
countInDegree 1140 37
countInDegree 1992 36
countInDegree 2211 27
countInDegree 924 23
countInDegree 1167 20
countInDegree 2691 25
countInDegree 1035 20
countInDegree 15 25
countInDegree 930 21
countInDegree 1749 28
countInDegree 2208 32
countInDegree 1950 22
countInDegree 1461 30
countInDegree 2649 25
countInDegree 66 27
countInDegree 2262 23
countInDegree 2175 24
countInDegree 2514 21
countInDegree 1872 36
countInDegree 1860 38
countInDegree 2955 33
countInDegree 1773 31
countInDegree 411 32
countInDegree 1290 53
countInDegree 606 31
countInDegree 948 46
countInDegree 1518 30
countInDegree 2259 30
countInDegree 450 28
countInDegree 1278 36
countInDegree 741 35
countInDegree 2790 29
countInDegree 1176 28
countInDegree 1440 32
countInDegree 2562 38
countInDegree 711 45
countInDegree 2883 22
countInDegree 2970 30
countInDegree 2877 31
countInDegree 1572 24
countInDegree 2781 29
countInDegree 546 30
countInDegree 2655 23
countInDegree 2358 31
countInDegree 489 38
countInDegree 1368 30
countInDegree 435 31
countInDegree 2889 27
countInDegree 2127 25
countInDegree 1143 28
countInDegree 504 31
countInDegree 2100 38
countInDegree 246 32
countInDegree 300 31
countInDegree 1875 35
countInDegree 2466 51
countInDegree 285 30
countInDegree 1503 30
countInDegree 2838 35
countInDegree 1464 29
countInDegree 558 36
countInDegree 978 25
countInDegree 2052 38
countInDegree 1971 36
countInDegree 2313 30
countInDegree 2163 25
countInDegree 867 34
countInDegree 1017 32
countInDegree 717 34
countInDegree 417 27
countInDegree 96 26
countInDegree 621 20
countInDegree 1785 41
countInDegree 1092 23
countInDegree 1080 27
countInDegree 498 27
countInDegree 69 20
countInDegree 2847 25
countInDegree 261 23
countInDegree 1917 27
countInDegree 582 29
countInDegree 1158 23
countInDegree 2940 49
countInDegree 2031 30
countInDegree 438 29
countInDegree 2136 29
countInDegree 2226 29
countInDegree 1806 37
countInDegree 1755 26
countInDegree 54 25
countInDegree 1065 20
countInDegree 1884 29
countInDegree 1431 19
countInDegree 294 27
countInDegree 2979 25
countInDegree 1509 19
countInDegree 2619 29
countInDegree 1302 19
countInDegree 2928 26
countInDegree 1893 25
countInDegree 720 19
countInDegree 531 27
countInDegree 1551 19
