countInDegree Node Time 
countInDegree 17724 1
countInDegree 14874 0
countInDegree 28089 1
countInDegree 19782 0
countInDegree 8484 0
countInDegree 14418 1
countInDegree 8112 1
countInDegree 27180 1
countInDegree 13224 1
countInDegree 1851 0
countInDegree 2637 0
countInDegree 28992 1
countInDegree 24471 1
countInDegree 9075 0
countInDegree 20394 0
countInDegree 27324 1
countInDegree 9351 1
countInDegree 7896 0
countInDegree 22485 1
countInDegree 7176 0
countInDegree 15843 0
countInDegree 27588 0
countInDegree 16356 0
countInDegree 15660 1
countInDegree 27030 1
countInDegree 22308 1
countInDegree 5037 0
countInDegree 16323 1
countInDegree 18588 0
countInDegree 29181 0
countInDegree 6528 0
countInDegree 23847 0
countInDegree 21165 1
countInDegree 25404 0
countInDegree 13593 1
countInDegree 11448 1
countInDegree 12657 0
countInDegree 22857 1
countInDegree 11271 0
countInDegree 18564 0
countInDegree 2565 1
countInDegree 29094 1
countInDegree 9681 1
countInDegree 21291 1
countInDegree 10338 1
countInDegree 4668 1
countInDegree 29709 1
countInDegree 27834 1
countInDegree 29637 1
countInDegree 16359 1
countInDegree 7032 0
countInDegree 10428 0
countInDegree 24768 1
countInDegree 21744 0
countInDegree 18279 1
countInDegree 4572 1
countInDegree 29010 1
countInDegree 13275 0
countInDegree 12546 1
countInDegree 16779 1
countInDegree 20868 0
countInDegree 7314 0
countInDegree 26136 1
countInDegree 10848 0
countInDegree 24879 1
countInDegree 10944 0
countInDegree 26814 1
countInDegree 23316 0
countInDegree 22197 1
countInDegree 23448 0
countInDegree 9432 0
countInDegree 1026 0
countInDegree 9786 1
countInDegree 4260 0
countInDegree 21420 1
countInDegree 7683 0
countInDegree 9342 1
countInDegree 17592 0
countInDegree 5577 1
countInDegree 15777 0
countInDegree 10869 0
countInDegree 10299 0
countInDegree 4689 1
countInDegree 2928 0
countInDegree 23109 1
countInDegree 25434 0
countInDegree 25941 0
countInDegree 13179 1
countInDegree 4218 0
countInDegree 4005 1
countInDegree 11583 14
countInDegree 12918 0
countInDegree 15243 1
countInDegree 381 0
countInDegree 183 0
countInDegree 28056 0
countInDegree 2913 1
countInDegree 4914 1
countInDegree 9738 1
countInDegree 9219 1
countInDegree 29154 0
countInDegree 11205 0
countInDegree 14706 1
countInDegree 11586 0
countInDegree 15465 0
countInDegree 11787 1
countInDegree 14631 2
countInDegree 2673 3
countInDegree 22986 3
countInDegree 23616 1
countInDegree 23613 1
countInDegree 27456 1
countInDegree 21072 1
countInDegree 9465 1
countInDegree 6828 1
countInDegree 144 1
countInDegree 19710 1
countInDegree 17544 1
countInDegree 16362 1
countInDegree 20610 0
countInDegree 1380 0
countInDegree 11652 0
countInDegree 27261 0
countInDegree 21885 1
countInDegree 12429 1
countInDegree 25197 1
countInDegree 7548 1
countInDegree 13614 0
countInDegree 29919 0
countInDegree 25809 1
countInDegree 28371 1
countInDegree 4884 1
countInDegree 29025 1
countInDegree 27807 1
countInDegree 4110 1
countInDegree 2115 0
countInDegree 13653 0
countInDegree 27063 1
countInDegree 14628 9
countInDegree 18039 0
countInDegree 29388 1
countInDegree 5808 1
countInDegree 17682 0
countInDegree 4416 0
countInDegree 5256 10
countInDegree 24039 1
countInDegree 21189 1
countInDegree 12501 0
countInDegree 1290 1
countInDegree 780 1
countInDegree 21231 1
countInDegree 22845 0
countInDegree 17772 0
countInDegree 2715 0
countInDegree 29877 1
countInDegree 13167 1
countInDegree 11721 0
countInDegree 23688 1
countInDegree 28464 0
