insert Node PortIn PortOut Time
insert 58677 58677_IN 58677_OUT 116
insert 56022 56022_IN 56022_OUT 116
insert 55233 55233_IN 55233_OUT 116
insert 52950 52950_IN 52950_OUT 108
insert 58560 58560_IN 58560_OUT 164
insert 30156 30156_IN 30156_OUT 172
insert 44040 44040_IN 44040_OUT 176
insert 53337 53337_IN 53337_OUT 120
insert 47433 47433_IN 47433_OUT 144
insert 40683 40683_IN 40683_OUT 172
insert 57369 57369_IN 57369_OUT 255
insert 36456 36456_IN 36456_OUT 116
insert 59403 59403_IN 59403_OUT 224
insert 39669 39669_IN 39669_OUT 116
insert 55383 55383_IN 55383_OUT 116
insert 55275 55275_IN 55275_OUT 116
insert 53103 53103_IN 53103_OUT 116
insert 45504 45504_IN 45504_OUT 117
insert 45216 45216_IN 45216_OUT 420
insert 38610 38610_IN 38610_OUT 185
insert 50790 50790_IN 50790_OUT 148
insert 51591 51591_IN 51591_OUT 112
insert 31392 31392_IN 31392_OUT 152
insert 32748 32748_IN 32748_OUT 136
insert 56385 56385_IN 56385_OUT 128
insert 53778 53778_IN 53778_OUT 264
insert 47100 47100_IN 47100_OUT 116
insert 55839 55839_IN 55839_OUT 132
insert 57714 57714_IN 57714_OUT 140
insert 36663 36663_IN 36663_OUT 116
insert 42708 42708_IN 42708_OUT 120
insert 35040 35040_IN 35040_OUT 116
insert 37674 37674_IN 37674_OUT 316
insert 56718 56718_IN 56718_OUT 176
insert 46938 46938_IN 46938_OUT 148
insert 34269 34269_IN 34269_OUT 180
insert 56625 56625_IN 56625_OUT 141
insert 51747 51747_IN 51747_OUT 180
insert 56208 56208_IN 56208_OUT 263
insert 58821 58821_IN 58821_OUT 192
insert 42960 42960_IN 42960_OUT 116
insert 57264 57264_IN 57264_OUT 112
insert 58332 58332_IN 58332_OUT 128
insert 56787 56787_IN 56787_OUT 180
insert 45228 45228_IN 45228_OUT 116
insert 39729 39729_IN 39729_OUT 116
insert 47979 47979_IN 47979_OUT 261
insert 40749 40749_IN 40749_OUT 136
insert 56388 56388_IN 56388_OUT 156
insert 50661 50661_IN 50661_OUT 152
insert 56874 56874_IN 56874_OUT 124
insert 38694 38694_IN 38694_OUT 116
insert 57807 57807_IN 57807_OUT 124
insert 32646 32646_IN 32646_OUT 116
insert 33279 33279_IN 33279_OUT 228
insert 52182 52182_IN 52182_OUT 116
insert 45324 45324_IN 45324_OUT 172
insert 37836 37836_IN 37836_OUT 216
insert 38022 38022_IN 38022_OUT 128
insert 37683 37683_IN 37683_OUT 116
insert 38223 38223_IN 38223_OUT 116
insert 56055 56055_IN 56055_OUT 113
insert 59400 59400_IN 59400_OUT 120
insert 38355 38355_IN 38355_OUT 136
insert 45360 45360_IN 45360_OUT 172
insert 53430 53430_IN 53430_OUT 115
insert 41271 41271_IN 41271_OUT 120
insert 36669 36669_IN 36669_OUT 116
insert 37170 37170_IN 37170_OUT 116
insert 57018 57018_IN 57018_OUT 136
insert 31578 31578_IN 31578_OUT 120
insert 33579 33579_IN 33579_OUT 144
insert 49308 49308_IN 49308_OUT 139
insert 50055 50055_IN 50055_OUT 114
insert 51918 51918_IN 51918_OUT 116
insert 31167 31167_IN 31167_OUT 116
insert 33663 33663_IN 33663_OUT 116
insert 41925 41925_IN 41925_OUT 127
insert 34725 34725_IN 34725_OUT 139
insert 58107 58107_IN 58107_OUT 149
insert 33303 33303_IN 33303_OUT 125
insert 33030 33030_IN 33030_OUT 116
