Primitive	1st Value	Average	Standart Deviation	99 Percentile	1 Percentile	95 Percentile	5 Percentile
countInDegree	3232,00	90,16	42,93	190,02	60,00	144,00	65,00
countOutDegree	186,00	41,67	10,41	67,02	31,00	57,00	32,00
insert	69,00	3,88	4,22	21,00	2,00	8,00	2,00
countNeighbors	24,00	5,68	5,74	38,00	2,00	11,00	3,00
computeAPSP	19,00	1,02	1,00	2,00	0,00	2,00	0,00
computeMST	2,00	2,57	40,16	5,00	0,00	2,00	0,00
computeSSSP	5,00	1,23	0,87	3,00	0,00	2,00	0,00
computeKSSSP	48,00	7,43	65,54	33,01	2,00	8,00	3,00
setEdgeWeight	95,00	23,26	3,89	34,01	19,00	29,00	19,00
getEdgeWeight	3,00	1,74	0,63	3,00	1,00	3,00	1,00
doesRouteExist	23,00	8,19	3,52	26,01	6,00	12,00	6,00
delete	131,00	70,59	37,81	173,01	25,00	153,05	28,95
